ID,NOMBRE_SHUFFLE,KHI2_DISTRIBUTION_CALC,KHI2_DISTRIBUTION_THEO,KHI2_INDEP_CALC,KHI2_INDEP_THEO
1,600.0,169.90153333333325,27.2035710295771,320.2112264967755,436.64898505457757
2,600.0,163.5238666666667,27.2035710295771,324.1316031208039,436.64898505457757
3,600.0,159.1082666666667,27.2035710295771,352.63654318054984,436.64898505457757
4,600.0,175.88906666666665,27.2035710295771,320.98006977002643,436.64898505457757
5,600.0,171.67486666666667,27.2035710295771,312.81999171605725,436.64898505457757
6,1200.0,203.74306666666666,27.2035710295771,343.921630971537,436.64898505457757
7,1200.0,195.30833333333337,27.2035710295771,317.8463940633642,436.64898505457757
8,1200.0,192.2607333333333,27.2035710295771,316.3766403247969,436.64898505457757
9,1200.0,197.1690666666667,27.2035710295771,309.4265015923736,436.64898505457757
10,1200.0,186.60506666666663,27.2035710295771,293.0496493155202,436.64898505457757
11,1800.0,220.54160000000005,27.2035710295771,284.985810334561,436.64898505457757
12,1800.0,212.93019999999996,27.2035710295771,292.8730466255569,436.64898505457757
