SHUFFLE_INTERVAL,DIST_VALUE,INDEP_VALUE
1,65.00000000000004,138.4000000000002
1,72.50000000000004,148.30000000000007
1,70.00000000000007,138.40000000000032
1,60.00000000000008,187.90000000000035
1,52.50000000000004,158.20000000000022
1,55.83333333333338,158.20000000000036
1,70.0000000000001,138.40000000000012
1,72.50000000000009,148.30000000000015
1,55.00000000000006,187.9000000000004
1,89.99999999999994,128.50000000000023
1,62.50000000000007,148.30000000000032
1,80.00000000000003,128.5000000000001
1,54.44444444444447,237.40000000000006
1,80.00000000000004,148.30000000000018
1,70.00000000000007,128.50000000000023
1,60.000000000000064,148.30000000000018
1,52.50000000000004,158.20000000000022
1,62.50000000000007,148.3000000000003
1,70.00000000000006,138.40000000000023
1,37.7777777777778,296.80000000000035
1,62.50000000000005,138.40000000000023
1,47.50000000000002,187.9000000000003
1,44.44444444444445,178.00000000000028
1,49.99999999999999,158.20000000000022
1,80.0,148.30000000000035
1,69.99999999999994,128.50000000000023
1,50.00000000000004,187.90000000000032
1,60.000000000000064,158.20000000000024
1,60.00000000000007,178.00000000000023
1,70.00000000000007,178.00000000000017
1,52.50000000000005,148.30000000000032
1,52.50000000000002,168.10000000000034
1,50.00000000000004,257.2000000000004
1,39.44444444444444,267.10000000000036
1,60.00000000000006,158.2000000000002
1,62.500000000000064,178.00000000000028
1,55.00000000000006,158.2000000000002
1,80.00000000000004,108.70000000000013
1,79.99999999999999,118.60000000000015
1,60.00000000000005,168.10000000000034
1,79.99999999999991,118.60000000000018
1,55.00000000000005,178.0000000000002
1,53.75000000000005,267.1000000000002
1,62.500000000000064,168.10000000000022
1,53.333333333333385,187.90000000000018
1,79.99999999999999,118.60000000000014
1,47.50000000000005,168.10000000000008
1,70.00000000000001,138.4000000000002
1,43.333333333333364,217.6000000000003
1,35.833333333333336,178.00000000000023
2,65.00000000000004,138.4000000000002
2,72.50000000000004,148.30000000000007
2,70.00000000000007,138.40000000000032
2,60.00000000000008,187.90000000000035
2,52.50000000000004,158.20000000000022
2,55.83333333333338,158.20000000000036
2,70.0000000000001,138.40000000000012
2,72.50000000000009,148.30000000000015
2,55.00000000000006,187.9000000000004
2,89.99999999999994,128.50000000000023
2,62.50000000000007,148.30000000000032
2,80.00000000000003,128.5000000000001
2,54.44444444444447,237.40000000000006
2,80.00000000000004,148.30000000000018
2,70.00000000000007,128.50000000000023
2,60.000000000000064,148.30000000000018
