ID,SHUFFLE_INTERVAL,KHI2_DISTRIB_THEO,KHI2_DISTRIB_SUCC,KHI2_INDEP_THEO,KHI2_INDEP_SUCC
1,1,117.4068831866464,false,9980.849171699736,true
2,2,117.4068831866464,false,9980.849171699736,true
3,3,117.4068831866464,false,9980.849171699736,true
4,4,117.4068831866464,false,9980.849171699736,true
5,5,117.4068831866464,false,9980.849171699736,true
